model,run,qid,is_correct
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,37,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,38,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,39,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,40,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,41,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,42,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,43,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,44,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,45,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,46,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,47,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,48,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,49,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,50,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,51,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,52,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,53,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,54,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,55,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,56,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,57,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,58,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,59,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,60,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,61,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,62,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,63,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,64,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,65,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,66,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,67,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,68,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,69,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,70,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,71,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,72,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,73,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,74,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,75,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,76,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,77,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,78,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,79,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,80,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,81,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,82,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,83,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,84,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,85,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,86,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,87,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,88,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,89,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,90,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,91,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,92,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,93,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,94,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,95,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,96,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,97,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,98,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,99,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,100,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,101,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,102,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,103,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,104,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,105,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,106,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,107,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,108,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,109,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,110,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,111,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,112,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,113,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,114,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,115,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,116,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,117,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,118,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,119,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,120,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,121,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,122,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,123,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,124,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,125,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,126,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,127,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,128,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,129,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,130,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,131,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,132,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,133,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,134,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,135,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,136,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,137,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,138,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,139,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,140,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,141,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,142,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,143,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,144,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,145,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,146,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,147,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,148,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,149,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,150,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,151,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,152,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,153,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,154,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,155,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,156,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,157,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,158,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,159,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,160,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,161,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,162,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,163,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,164,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,165,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,166,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,167,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,168,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,169,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,170,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,171,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,172,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,173,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,174,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,175,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,176,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,177,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,178,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,179,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,180,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,181,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,182,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,183,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,184,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,185,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,186,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,187,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,188,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,189,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,190,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,191,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,192,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,193,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,194,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,195,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,196,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,197,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,198,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,199,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,200,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,201,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,202,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,203,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,204,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,205,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,206,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,207,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,208,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,209,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,210,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,211,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,212,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,213,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,214,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,215,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,216,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,217,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,218,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,219,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,220,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,221,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,222,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,223,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,224,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,225,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,226,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,227,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,228,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,229,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,230,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,231,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,232,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,233,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,234,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,235,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,236,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,237,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,238,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,239,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,240,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,241,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,242,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,243,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,244,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,245,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,246,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,247,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,248,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,249,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,250,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,251,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,252,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,253,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,254,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,255,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,256,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,257,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,258,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,259,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,260,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,261,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,262,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,263,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,264,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,265,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,266,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,267,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,268,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,269,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,270,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,271,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,272,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,273,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,274,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,275,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,276,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,277,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,278,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,279,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,280,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,281,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,282,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,283,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,284,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,285,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,286,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,287,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,288,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,289,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,290,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,291,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,292,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,293,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,294,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,295,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,296,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,297,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,298,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,299,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,300,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,301,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,302,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,303,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,304,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,305,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,306,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,307,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,308,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,309,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,310,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,311,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,312,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,313,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,314,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,315,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,316,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,317,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,318,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,319,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,320,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,321,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,322,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,323,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,324,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,325,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,326,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,327,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,328,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,329,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,330,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,331,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,332,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,333,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,334,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,335,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,336,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,337,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,338,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,339,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,340,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,341,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,342,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,343,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,344,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,345,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,346,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,347,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,348,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,349,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,350,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,351,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,352,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,353,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,354,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,355,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,356,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,357,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,358,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,359,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,360,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,361,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,362,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,363,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,364,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,365,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,366,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,367,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,368,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,369,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,370,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,371,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,372,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,373,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,374,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,375,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,376,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,377,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,378,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,379,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,380,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,381,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,382,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,383,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,384,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,385,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,386,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,387,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,388,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,389,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,390,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,391,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,392,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,393,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,394,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,395,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,396,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,397,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,398,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,399,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,400,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,401,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,402,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,403,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,404,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,405,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,406,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,407,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,408,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,409,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,410,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,411,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,412,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,413,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,414,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,415,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,416,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,417,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,418,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,419,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,420,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,421,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,422,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,423,0
